date,state,sales,category,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,day_of_week,month,is_holiday
2019-03-11,Alabama,112189103.8,Beverages,112144016.42413794,111873492.16896552,110836482.52413793,112053841.6724138,97399.86391190969,0,3,0
2019-06-10,Alabama,129106730.4,Beverages,128920822.41538462,127805374.5076923,123529490.86153847,128549006.44615385,401607.14735187235,0,6,0
2019-08-12,Alabama,108083723.8,Beverages,108417422.31746031,110419613.42222223,118094679.32380952,109084819.35238096,720871.1877032169,0,8,1
2019-10-11,Alabama,110932912.8,Beverages,110885426.31666666,110600507.41666666,109508318.3,110790453.35,102582.52839910414,4,10,0
2019-10-13,Alabama,123782285.8,Beverages,117357599.3,110695480.38333333,109603291.26666667,113618512.03809524,5098423.436478449,6,10,0
2019-10-20,Alabama,116218908.89999999,Beverages,117299391.31428571,123782285.8,109935696.64999999,119460356.14285715,2334108.785391673,6,10,0
2019-10-27,Alabama,109968010.6,Beverages,110860996.07142857,116218908.89999999,110268102.03333333,112646967.0142857,1929069.095925175,6,10,1
2019-11-17,Alabama,109056410.0,Beverages,109099819.55238095,109360276.86666666,118379873.72857141,109186638.65714286,93775.350955208,6,11,0
2019-11-24,Alabama,113040422.1,Beverages,112471277.51428571,109056410.0,111753981.54285714,111332988.34285714,1229492.8266399386,6,11,0
2019-12-15,Alabama,108528456.4,Beverages,108743311.90952381,110032444.96666667,109143229.1047619,109173022.92857143,464140.94828590704,6,12,0
2019-12-22,Alabama,116541575.0,Beverages,115396843.77142857,108528456.4,111902132.92857142,113107381.31428573,2472902.087247411,6,12,0
2019-12-29,Alabama,106949922.2,Beverages,108320158.31428573,116541575.0,111966144.55238095,111060630.54285714,2960048.317426944,6,12,0
2020-01-03,Alabama,116651493.0,Beverages,114711178.84,109690394.42857143,110891867.0047619,111303486.27346937,3565294.592517102,4,1,0
2020-01-11,Alabama,120522113.9,Beverages,120038286.28750001,117135320.6125,109173022.92857143,119070631.0625,1045187.0997805021,5,1,0
2020-01-19,Alabama,105904865.60000001,Beverages,107732021.6375,118694957.86250001,114252112.54285714,111386333.71249999,3947108.164856179,6,1,0
2020-01-26,Alabama,106265736.60000001,Beverages,106214183.60000001,105904865.60000001,109690394.42857143,106111077.60000001,111367.20842230614,6,1,1
2020-02-02,Alabama,108358279.6,Beverages,108059344.88571428,106265736.60000001,116651493.0,107461475.45714284,645772.7896815649,6,2,0
2020-02-08,Alabama,131945461.10000001,Beverages,128014264.18333334,108059344.88571428,119554458.67500001,120151870.35000001,8492355.950432329,5,2,0
2020-02-16,Alabama,107397612.3,Beverages,110466093.4,128876980.0,109559177.67500001,116603055.60000001,6628676.782355105,6,2,0
2020-02-23,Alabama,107801054.30000001,Beverages,107743419.72857144,107397612.3,106162630.60000001,107628150.5857143,124504.9042403924,6,2,0
